User ID,Friends
1,2,3,4,5
2,1,3,6
3,1,2,7
4,1,8
5,1,6,9
6,2,5,10
7,3,8,11
8,4,7,12
9,5,10
10,6,9
11,7,12
12,8,11
13,14,15
14,13,16
15,13,17
16,14,18
17,15,19
18,16,20
19,17,21
20,18,22
21,19,23
22,20,24
23,21,25
24,22,26
25,23,27
26,24,28
27,25,29
28,26,30
29,27,31
30,28,32
31,29,33
32,30,34
33,31,35
34,32,36
35,33,37
36,34,38
37,35,39
38,36,40
39,37,41
40,38,42
41,39,43
42,40,44
43,41,45
44,42,46
45,43,47
46,44,48
47,45,49
48,46,50
49,47,50
50,48,49
